,domain,type,tweets,status
0,21stcenturywire.com,,3088,Not Live
1,clarityofsignal.com,,2352,Live
2,rt.com,,1598,Live
3,newsweek.com,,1249,Not Live
4,alternet.org,,1221,Live
5,sputniknews.com,,1076,Live
6,mintpressnews.com,,919,Not Live
7,cnn.com,,756,Live
8,globalresearch.ca,,724,Live
9,theantimedia.org,,682,Live
