,domain,type,tweets,status
0,therealstrategy.com,Alternative Media,7113,Live
1,infowars.com,Alternative Media,1741,Live
2,newsbusters.org,Alternative Media,1217,Live
3,washingtonpost.com,MSM,1108,Live
4,nodisinfo.com,Alternative Media,774,Not Live
5,nytimes.com,MSM,759,Live
6,veteranstoday.com,Alternative Media,586,Live
7,beforeitsnews.com,Alternative Media,580,Live
8,rawstory.com,Alternative Media,308,Live
9,hoax.trendolizer.com,fact checker,299,Live
